report_title,date,fuel,from_time,to_time,duration_hours,actual_generation_mw,relief_mw,curtailed_mwh,curtailed_twh,reason,extraction_method,confidence,source_page,notes,source_url
Curtailment_RE_Power_05April_2026.pdf,2026-04-05,wind,09:03,11:07,2.0667,294.000,95.000,196.333,0.000196333,Heavy underdrawl & high frequency (OP/04/149),pdf_text_monthly_summary,high,,,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d37d38bfc18_Curtailment_RE_Power05April2026.pdf
Curtailment_RE_Power_05April_2026.pdf,2026-04-05,solar,11:07,14:01,2.9000,4379.000,575.000,1667.500,0.001667500,Heavy underdrawl & high frequency (OP/04/154),pdf_text_monthly_summary,high,,,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d37d38bfc18_Curtailment_RE_Power05April2026.pdf
Curtailment_RE_Power_05April_2026.pdf,2026-04-05,wind,11:07,14:01,2.9000,127.000,18.000,52.200,0.000052200,Heavy underdrawl & high frequency (OP/04/154),pdf_text_monthly_summary,high,,,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d37d38bfc18_Curtailment_RE_Power05April2026.pdf
Curtailment_RE_Power_05April_2026.pdf,2026-04-05,solar,14:01,16:02,2.0167,3790.000,402.000,810.700,0.000810700,Heavy underdrawl & high frequency (OP/04/158),pdf_text_monthly_summary,high,,,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d37d38bfc18_Curtailment_RE_Power05April2026.pdf
Curtailment_RE_Power_05April_2026.pdf,2026-04-05,wind,14:01,16:02,2.0167,156.000,25.000,50.417,0.000050417,Heavy underdrawl & high frequency (OP/04/158),pdf_text_monthly_summary,high,,,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d37d38bfc18_Curtailment_RE_Power05April2026.pdf
Curtailment_RE_Power_02 & 03 April 2026,2026-04-02,solar,10:15,11:09,0.9000,6730.000,50.000,45.000,0.000045000,Due to Bikaner ICT's overloading,manual_from_scanned_pdf,medium,1,Source is image-only under pdftotext; values transcribed from rendered page 1.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d0adb6d52bf_Curtailment_RE_Power_02&03April2026.pdf
Curtailment_RE_Power_02 & 03 April 2026,2026-04-02,solar,10:56,13:15,2.3167,6444.000,80.000,185.333,0.000185333,Due to Bhadla ICT overloading,manual_from_scanned_pdf,medium,2,Source is image-only under pdftotext; values transcribed from rendered page 2.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d0adb6d52bf_Curtailment_RE_Power_02&03April2026.pdf
Curtailment_RE_Power_02 & 03 April 2026,2026-04-02,solar,11:09,11:35,0.4333,6568.000,45.000,19.500,0.000019500,Due to Bikaner ICT overloading,manual_from_scanned_pdf,medium,3,Source is image-only under pdftotext; values transcribed from rendered page 3.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d0adb6d52bf_Curtailment_RE_Power_02&03April2026.pdf
Curtailment_RE_Power_02 & 03 April 2026,2026-04-02,solar,11:35,13:13,1.6333,6733.000,42.000,68.600,0.000068600,Due to Bikaner ICT overloading,manual_from_scanned_pdf,medium,4,Source is image-only under pdftotext; values transcribed from rendered page 4.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d0adb6d52bf_Curtailment_RE_Power_02&03April2026.pdf
Curtailment_RE_Power_02 & 03 April 2026,2026-04-02,solar,13:15,14:58,1.7167,7037.000,42.000,72.100,0.000072100,Due to Bhadla ICT overloading,manual_from_scanned_pdf,medium,5,Source is image-only under pdftotext; values transcribed from rendered page 5.,https://sldc.rajasthan.gov.in/rrvpnl/download/12/69d0adb6d52bf_Curtailment_RE_Power_02&03April2026.pdf
